samba	2:4.24.5+dfsg-1	amd64
samba-common	2:4.24.5+dfsg-1	all
samba-common-bin	2:4.24.5+dfsg-1	amd64
samba-libs	2:4.24.5+dfsg-1	amd64
sed	4.9-3	amd64
sensible-utils	0.0.26	all
shared-mime-info	2.4-5+b3	amd64
smbclient	2:4.24.5+dfsg-1	amd64
sphinx-rtd-theme-common	3.1.0+dfsg-2	all
sqlmap	1.10.8-1	all
sqv	1.4.0-1	amd64
ssl-cert	1.2.0	all
sslscan	2.1.5-1	amd64
sslyze	6.3.1-0kali2	all
subfinder	2.16.0-0kali1	amd64
sudo	1.9.17p2-7	amd64
